Year,Property_ID,Owner_Info,Match_Reason
2021,AMH 2014-1 BORROWER LLC,TU2 | 2021 | 227 | 227201 | 05 | 02 | AMH 2014-1 BORROWER LLC | 564800 | 564800 | 227,Keyword: AMH 2014
2021,AMH ADDISON DEVELOPMENT LLC,TU2 | 2021 | 227 | 227211 | 40 | 05 | AMH ADDISON DEVELOPMENT LLC | 45001800 | 45001800 | 227,Keyword: AMH ADDISON
2021,AMH 2014-2 BORROWER LLC,TU2 | 2021 | 227 | 227257 | 04 | 08 | AMH 2014-2 BORROWER LLC | 482400 | 482400 | 227,Keyword: AMH 2014
2021,AH4R PROPERTIES LLC,TU2 | 2021 | 227 | 227266 | 04 | 01 | AH4R PROPERTIES LLC | 4821639 | 4821639 | 227,Keyword: AH4R
