Year,Property_ID,Owner_Info,Match_Reason
2024,SFR JV-HD 2024-1 BORROWER LLC,TU2 | 2024 | 227 | 227254 | 04 | 10 | SFR JV-HD 2024-1 BORROWER LLC | 648487 | 648487 | 227,Keyword: SFR JV-HD
2024,AMH 2014-1 BORROWER LLC,TU2 | 2024 | 227 | 227201 | 05 | 3 | AMH 2014-1 BORROWER LLC | 743014 | 743014 | 227,Keyword: AMH 2014
2024,AMH ADDISON DEVELOPMENT LLC,TU2 | 2024 | 227 | 227211 | 40 | 6 | AMH ADDISON DEVELOPMENT LLC | 58980015 | 58980015 | 227,Keyword: AMH ADDISON
2024,AMH 2014-2 BORROWER LLC,TU2 | 2024 | 227 | 227257 | 04 | 9 | AMH 2014-2 BORROWER LLC | 708085 | 708085 | 227,Keyword: AMH 2014
2024,AH4R PROPERTIES LLC,TU2 | 2024 | 227 | 227266 | 04 | 5 | AH4R PROPERTIES LLC | 4848415 | 4848415 | 227,Keyword: AH4R
