Property_ID,Owner_Name,Mailing_Address,Property_Address,Match_Reason
892409    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y WOODROW WILSON S,Keyword: AH4R
892435    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y GROVER CLEVELAND W,Keyword: AH4R
892437    0202500000000,AH4R PROPERTIES LLC F000000000000,ATTN : PROPERTY TAX DEPT 23975 PARK SORRENTO STE 300 CALABASAS CA 913024012 F,Y GROVER CLEVELAND W,Keyword: AH4R
896216    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y VIGILANCE S,Keyword: TRICON
910728    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y HENRY A WALLACE L,Keyword: TRICON
914736    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y RIPRAP D,Keyword: TRICON
916254    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y RINCON S,Keyword: TRICON
919886    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y INAUGURAL S,Keyword: TRICON
922257P    0202500000000,AMERICAN HOMES 4 RENT LP F000000000000,C/O INDIRECT TAX - BPP PO BOX 8759 CALABASAS CA 913728759 F,Y VARIOUS LOCATIONS,Keyword: AMERICAN HOMES 4 RENT
923745    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y PLEASANTON P,Keyword: TRICON
926908    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y TILMON L,Keyword: TRICON
931900    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y ROSEBUD ISLE D,Keyword: TRICON
933791P    0202500000000,QUESTION PRO INC F000000000000,750 ST PAUL ST STE 250 AUSTIN TX 75201 F,Y VARIOUS LOCATIONS,Mailing: 75201
946437    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946439    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946542    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946544    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946545    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946548    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946549    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946569    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
946571    0202500000000,SFR JV-HD 2024-1 BORROWER LLC F000000000000,% TRICON AMERICAN HOMES LLC 15771 RED HILL AVE STE 100 TUSTIN CA 927807333 F,Y COPPERSTONE A,Keyword: TRICON
970108P    0202500000000,SEPHORA USA INC F000000000000,ATTN: ACCOUNTING 350 MISSION ST #7 SAN FRANCISCO CA 94105 F,Y BRODIE L,Mailing: 94105
983332P    0202500000000,SEPHORA USA INC F000000000000,ATTN: ACCOUNTING 350 MISSION ST #7 SAN FRANCISCO CA 94105 F,Y BARBARA JORDAN B,Mailing: 94105
1004484P    0202500000000,SEPHORA USA INC F000000000000,ATTN: ACCOUNTING 350 MISSION ST #7 SAN FRANCISCO CA 94105 F,Y S CAPITAL OF TX HY,Mailing: 94105
