Year,Property_ID,Owner_Info,Match_Reason
2023,SFR JV-HD PROPERTY LLC,TU2 | 2023 | 227 | 227254 | 04 | 9 | SFR JV-HD PROPERTY LLC | 744325 | 744325 | 227,Keyword: SFR JV-HD
2023,AMH 2014-1 BORROWER LLC,TU2 | 2023 | 227 | 227201 | 05 | 3 | AMH 2014-1 BORROWER LLC | 850373 | 850373 | 227,Keyword: AMH 2014
2023,AMH ADDISON DEVELOPMENT LLC,TU2 | 2023 | 227 | 227211 | 40 | 5 | AMH ADDISON DEVELOPMENT LLC | 69672417 | 69672417 | 227,Keyword: AMH ADDISON
2023,AMH 2014-2 BORROWER LLC,TU2 | 2023 | 227 | 227257 | 04 | 9 | AMH 2014-2 BORROWER LLC | 797998 | 797998 | 227,Keyword: AMH 2014
2023,AH4R PROPERTIES LLC,TU2 | 2023 | 227 | 227266 | 04 | 1 | AH4R PROPERTIES LLC | 8128855 | 8128855 | 227,Keyword: AH4R
